Section 8: Prejudice — GameSpy ATLAS stat keyid -> name (from S9Game.u ColumnMappings/ColumnIds)
Id (keyid) is what appears in the SC SubmitReport blob and OnlineStats. '_Date' companion = FILETIME.

### S9Game.u  ViewId=1  columns=988
     834  0x0342  DestructionIAL_Date_G27
     835  0x0343  Destruction_Date_G27
     836  0x0344  Kills_G28
     837  0x0345  TimePlayed_G28
     838  0x0346  Destruction_G28
     839  0x0347  KillsIAL_G28
     840  0x0348  DamageIAL_G28
     841  0x0349  DestructionIAL_G28
     842  0x034a  Kills_Date_G28
     843  0x034b  TimePlayed_Date_G28
     844  0x034c  KillsIAL_Date_G28
     845  0x034d  DamageIAL_Date_G28
     846  0x034e  DestructionIAL_Date_G28
     847  0x034f  Destruction_Date_G28
     848  0x0350  Kills_G29
     849  0x0351  TimePlayed_G29
     850  0x0352  Destruction_G29
     851  0x0353  KillsIAL_G29
     852  0x0354  DamageIAL_G29
     853  0x0355  DestructionIAL_G29
     854  0x0356  Kills_Date_G29
     855  0x0357  TimePlayed_Date_G29
     856  0x0358  KillsIAL_Date_G29
     857  0x0359  DamageIAL_Date_G29
     858  0x035a  DestructionIAL_Date_G29
     859  0x035b  Destruction_Date_G29
     860  0x035c  Kills_G30
     861  0x035d  TimePlayed_G30
     862  0x035e  Destruction_G30
     863  0x035f  KillsIAL_G30
     864  0x0360  DamageIAL_G30
     865  0x0361  DestructionIAL_G30
     866  0x0362  Kills_Date_G30
     867  0x0363  TimePlayed_Date_G30
     868  0x0364  KillsIAL_Date_G30
     869  0x0365  DamageIAL_Date_G30
     870  0x0366  DestructionIAL_Date_G30
     871  0x0367  Destruction_Date_G30
     872  0x0368  Kills_G31
     873  0x0369  TimePlayed_G31
     874  0x036a  Destruction_G31
     875  0x036b  KillsIAL_G31
     876  0x036c  DamageIAL_G31
     877  0x036d  DestructionIAL_G31
     878  0x036e  Kills_Date_G31
     879  0x036f  TimePlayed_Date_G31
     880  0x0370  KillsIAL_Date_G31
     881  0x0371  DamageIAL_Date_G31
     882  0x0372  DestructionIAL_Date_G31
     883  0x0373  Destruction_Date_G31
     884  0x0374  Kills_G32
     885  0x0375  TimePlayed_G32
     886  0x0376  Destruction_G32
     887  0x0377  KillsIAL_G32
     888  0x0378  DamageIAL_G32
     889  0x0379  DestructionIAL_G32
     890  0x037a  Kills_Date_G32
     891  0x037b  TimePlayed_Date_G32
     892  0x037c  KillsIAL_Date_G32
     893  0x037d  DamageIAL_Date_G32
     894  0x037e  DestructionIAL_Date_G32
     895  0x037f  Destruction_Date_G32
     896  0x0380  Kills_G33
     897  0x0381  TimePlayed_G33
     898  0x0382  Destruction_G33
     899  0x0383  KillsIAL_G33
     900  0x0384  DamageIAL_G33
     901  0x0385  DestructionIAL_G33
     902  0x0386  Kills_Date_G33
     903  0x0387  TimePlayed_Date_G33
     904  0x0388  KillsIAL_Date_G33
     905  0x0389  DamageIAL_Date_G33
     906  0x038a  DestructionIAL_Date_G33
     907  0x038b  Destruction_Date_G33
     908  0x038c  Kills_G34
     909  0x038d  TimePlayed_G34
     910  0x038e  Destruction_G34
     911  0x038f  KillsIAL_G34
     912  0x0390  DamageIAL_G34
     913  0x0391  DestructionIAL_G34
     914  0x0392  Kills_Date_G34
     915  0x0393  TimePlayed_Date_G34
     916  0x0394  KillsIAL_Date_G34
     917  0x0395  DamageIAL_Date_G34
     918  0x0396  DestructionIAL_Date_G34
     919  0x0397  Destruction_Date_G34
     920  0x0398  Kills_G35
     921  0x0399  TimePlayed_G35
     922  0x039a  Destruction_G35
     923  0x039b  KillsIAL_G35
     924  0x039c  DamageIAL_G35
     925  0x039d  DestructionIAL_G35
     926  0x039e  Kills_Date_G35
     927  0x039f  TimePlayed_Date_G35
     928  0x03a0  KillsIAL_Date_G35
     929  0x03a1  DamageIAL_Date_G35
     930  0x03a2  DestructionIAL_Date_G35
     931  0x03a3  Destruction_Date_G35
     932  0x03a4  Kills_G36
     933  0x03a5  TimePlayed_G36
     934  0x03a6  Destruction_G36
     935  0x03a7  KillsIAL_G36
     936  0x03a8  DamageIAL_G36
     937  0x03a9  DestructionIAL_G36
     938  0x03aa  Kills_Date_G36
     939  0x03ab  TimePlayed_Date_G36
     940  0x03ac  KillsIAL_Date_G36
     941  0x03ad  DamageIAL_Date_G36
     942  0x03ae  DestructionIAL_Date_G36
     943  0x03af  Destruction_Date_G36
     944  0x03b0  Kills_G37
     945  0x03b1  TimePlayed_G37
     946  0x03b2  Destruction_G37
     947  0x03b3  KillsIAL_G37
     948  0x03b4  DamageIAL_G37
     949  0x03b5  DestructionIAL_G37
     950  0x03b6  Kills_Date_G37
     951  0x03b7  TimePlayed_Date_G37
     952  0x03b8  KillsIAL_Date_G37
     953  0x03b9  DamageIAL_Date_G37
     954  0x03ba  DestructionIAL_Date_G37
     955  0x03bb  Destruction_Date_G37
     956  0x03bc  Kills_G38
     957  0x03bd  TimePlayed_G38
     958  0x03be  Destruction_G38
     959  0x03bf  KillsIAL_G38
     960  0x03c0  DamageIAL_G38
     961  0x03c1  DestructionIAL_G38
     962  0x03c2  Kills_Date_G38
     963  0x03c3  TimePlayed_Date_G38
     964  0x03c4  KillsIAL_Date_G38
     965  0x03c5  DamageIAL_Date_G38
     966  0x03c6  DestructionIAL_Date_G38
     967  0x03c7  Destruction_Date_G38
     968  0x03c8  Kills_G39
     969  0x03c9  TimePlayed_G39
     970  0x03ca  Destruction_G39
     971  0x03cb  KillsIAL_G39
     972  0x03cc  DamageIAL_G39
     973  0x03cd  DestructionIAL_G39
     974  0x03ce  Kills_Date_G39
     975  0x03cf  TimePlayed_Date_G39
     976  0x03d0  KillsIAL_Date_G39
     977  0x03d1  DamageIAL_Date_G39
     978  0x03d2  DestructionIAL_Date_G39
     979  0x03d3  Destruction_Date_G39
     980  0x03d4  Kills_G40
     981  0x03d5  TimePlayed_G40
     982  0x03d6  Destruction_G40
     983  0x03d7  KillsIAL_G40
     984  0x03d8  DamageIAL_G40
     985  0x03d9  DestructionIAL_G40
     986  0x03da  Kills_Date_G40
     987  0x03db  TimePlayed_Date_G40
     988  0x03dc  KillsIAL_Date_G40
     989  0x03dd  DamageIAL_Date_G40
     990  0x03de  DestructionIAL_Date_G40
     991  0x03df  Destruction_Date_G40
     992  0x03e0  Kills_G41
     993  0x03e1  TimePlayed_G41
     994  0x03e2  Destruction_G41
     995  0x03e3  KillsIAL_G41
     996  0x03e4  DamageIAL_G41
     997  0x03e5  DestructionIAL_G41
     998  0x03e6  Kills_Date_G41
     999  0x03e7  TimePlayed_Date_G41
    1000  0x03e8  KillsIAL_Date_G41
    1001  0x03e9  DamageIAL_Date_G41
    1002  0x03ea  DestructionIAL_Date_G41
    1003  0x03eb  Destruction_Date_G41
    1004  0x03ec  Kills_G42
    1005  0x03ed  TimePlayed_G42
    1006  0x03ee  Destruction_G42
    1007  0x03ef  KillsIAL_G42
    1008  0x03f0  DamageIAL_G42
    1009  0x03f1  DestructionIAL_G42
    1010  0x03f2  Kills_Date_G42
    1011  0x03f3  TimePlayed_Date_G42
    1012  0x03f4  KillsIAL_Date_G42
    1013  0x03f5  DamageIAL_Date_G42
    1014  0x03f6  DestructionIAL_Date_G42
    1015  0x03f7  Destruction_Date_G42
    1016  0x03f8  Kills_G43
